Trace	Trace Start (ms)	Trace Start (minutes)	R1S1 Peak Amp (pA)	Abs Val R1S1 Peak Amp (pA)	Normalized to Baseline (431.6799)	Time From SNAP Addition	Color Code	Z-score
71	1.4e+006	23.333333333333332	-477.407	477.407	110.59282327963793	8.666666666666666	blue	0.2277923700649561
72	1.42e+006	23.666666666666668	-541.754	541.754	125.49900689147199	9.000000000000002	blue	0.7467499790848486
73	1.44e+006	24.0	-412.419	412.419	95.53815001490341	9.333333333333334	blue	-0.2963348945314471
74	1.46e+006	24.333333333333332	-499.58	499.58	115.72926801249565	9.666666666666666	blue	0.4066172890945623
75	1.48e+006	24.666666666666668	-721.383	721.383	167.11062601917243	10.000000000000002	blue	2.195455223317435
76	1.5e+006	25.0	-441.924	441.924	102.37307545769272	10.333333333333334	grey	-0.05837750329126625
77	1.52e+006	25.333333333333332	-485.675	485.675	112.50813131424162	10.666666666666666	grey	0.29447366851517887
78	1.54e+006	25.666666666666668	-519.27	519.27	120.29051803684818	11.000000000000002	grey	0.565416849627325
79	1.56e+006	26.0	-377.187	377.187	87.37654712724529	11.333333333333334	grey	-0.5804804565776781
80	1.58e+006	26.333333333333332	-447.023	447.023	103.55427474028154	11.666666666666666	grey	-0.01725414325284248
81	1.6e+006	26.666666666666668	-505.771	505.771	117.16343250720193	12.000000000000002	grey	0.45654761307924174
82	1.62e+006	27.0	-402.05	402.05	93.1361387654107	12.333333333333334	grey	-0.3799607270943832
83	1.64e+006	27.333333333333332	-417.689	417.689	96.75896198180732	12.666666666666666	grey	-0.2538324220069339
84	1.66e+006	27.666666666666668	-558.766	558.766	129.43988984801263	13.000000000000002	grey	0.8839515089875073
85	1.68e+006	28.0	-529.439	529.439	122.64619866141095	13.333333333333334	grey	0.6474296851305072
86	1.7e+006	28.333333333333332	-408.591	408.591	94.65138185374438	13.666666666666666	grey	-0.32720765825513487
87	1.72e+006	28.666666666666668	-470.545	470.545	109.0032195382917	14.000000000000002	grey	0.1724504409448031
88	1.74e+006	29.0	-542.697	542.697	125.71745578801665	14.333333333333334	grey	0.7543552602215877
89	1.76e+006	29.333333333333332	-534.583	534.583	123.837822334609	14.666666666666666	grey	0.6889159695073753
90	1.78e+006	29.666666666666668	-460.594	460.594	106.69803929490259	15.000000000000002	grey	0.09219577223675209
91	1.8e+006	30.0	-504.097	504.097	116.77564517653833	15.333333333333334	grey	0.4430468276891021
92	1.82e+006	30.333333333333332	-474.897	474.897	110.01137393676719	15.666666666666666	grey	0.20754925696504584
93	1.84e+006	30.666666666666668	-585.7	585.7	135.67923510732757	16.0	grey	1.1011738230245536
94	1.86e+006	31.0	-515.664	515.664	119.45517686936138	16.333333333333332	grey	0.5363345126399638
95	1.88e+006	31.333333333333332	-546.473	546.473	126.59217798669388	16.666666666666664	grey	0.7848086447097393
96	1.9e+006	31.666666666666668	-520.877	520.877	120.66278460816025	17.0	grey	0.5783772810024466
97	1.92e+006	32.0	-412.295	412.295	95.50942502744687	17.333333333333332	grey	-0.2973349527084942
98	1.94e+006	32.333333333333336	-479.226	479.226	111.01420031337572	17.666666666666668	grey	0.2424625783234171
99	1.96e+006	32.666666666666664	-409.683	409.683	94.90434706586184	17.999999999999996	grey	-0.3184006943088792
100	1.98e+006	33.0	-551.371	551.371	127.72681499122811	18.333333333333332	grey	0.8243109427031103
